City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,hastings,50.8552,0.5729,10.55,93,100,9.91,GB,1707426277
177,bayanhongor,46.7167,100.1167,-24.5,71,4,1.48,MN,1707426277
178,piti village,13.4626,144.6933,26.49,74,0,4.63,GU,1707426277
179,college,64.8569,-147.8028,-14.75,79,20,0.0,US,1707426090
180,manta,-0.95,-80.7333,28.88,83,75,6.71,EC,1707426277
181,juan rodriguez clara,17.9833,-95.4083,27.32,54,5,2.16,MX,1707426277
182,ayr,55.4627,-4.6339,2.5,80,20,8.75,GB,1707426278
183,kondapalle,16.6167,80.5333,21.4,87,3,1.14,IN,1707426278
184,wainwright,52.839,-110.8572,-2.98,85,100,0.33,CA,1707426278
185,petropavlovsk-kamchatsky,53.0452,158.6483,-10.86,90,40,3.0,RU,1707426278
186,plastun,44.7561,136.2939,-12.78,85,10,2.88,RU,1707426278
187,birao,10.2849,22.7882,23.84,20,57,2.57,CF,1707426278
188,inarajan village,13.2736,144.7484,26.54,80,89,8.05,GU,1707426279
189,al kut,32.5147,45.819,14.75,58,0,4.14,IQ,1707426279
190,hasaki,35.7333,140.8333,1.27,59,100,8.32,JP,1707426279
191,villa bruzual,9.3328,-69.1208,31.84,52,96,2.39,VE,1707426279
192,smolensk,55.0,33.0,-14.7,99,89,1.34,RU,1707426279
193,maasim,5.8575,125.0061,26.15,81,77,3.84,PH,1707426279
194,camarinas,43.1311,-9.1817,14.4,86,74,11.56,ES,1707426183
195,belle fourche,44.6714,-103.8522,1.95,61,100,10.89,US,1707426280
196,reggane,26.7158,0.1714,18.34,15,0,2.26,DZ,1707426280
197,zima,53.9202,102.0442,-22.73,100,98,0.84,RU,1707426280
198,atafu village,-8.5421,-172.5159,28.66,76,100,6.88,TK,1707426280
199,lompoc,34.6391,-120.4579,14.32,68,100,5.66,US,1707426280
200,saudarkrokur,65.7461,-19.6394,-15.63,91,9,3.45,IS,1707426280
201,codrington,-38.2667,141.9667,14.47,74,100,3.21,AU,1707426281
202,sisimiut,66.9395,-53.6735,-15.31,92,100,5.82,GL,1707426281
203,polyarnyy,69.1989,33.4478,-23.86,100,100,2.97,RU,1707426281
204,mitchell,43.7094,-98.0298,3.99,70,100,10.29,US,1707425994
205,ust'-ilimsk,58.0006,102.6619,-8.64,98,100,1.34,RU,1707426281
206,yemetsk,63.4721,41.7941,-12.65,94,100,3.44,RU,1707426281
207,manakara,-22.1333,48.0167,23.98,94,95,2.5,MG,1707426281
208,sola,-13.8833,167.55,29.37,84,100,2.57,VU,1707426282
209,pisco,-13.7,-76.2167,28.03,74,0,9.77,PE,1707426282
210,karratha,-20.7377,116.8463,28.31,73,42,3.07,AU,1707426282
211,nova sintra,14.8667,-24.7167,21.58,73,0,6.41,CV,1707426282
212,cabo san lucas,22.8909,-109.9124,23.67,59,99,1.34,MX,1707426056
213,dudinka,69.4058,86.1778,-25.77,95,10,2.24,RU,1707426282
214,kani keli,-12.9536,45.1033,26.59,75,93,1.46,YT,1707426282
215,las tablas,7.7667,-80.2833,28.43,99,94,8.49,PA,1707426283
216,fort bragg,35.139,-79.006,15.32,31,0,1.54,US,1707426283
217,lebu,-37.6167,-73.65,16.4,68,55,8.08,CL,1707426163
218,nova vicosa,-17.8919,-39.3719,24.53,84,100,1.92,BR,1707426283
219,uturoa,-16.7333,-151.4333,28.09,82,81,6.58,PF,1707426283
220,linqiong,30.4159,103.4609,4.9,79,99,1.28,CN,1707426283
221,chigorodo,7.6664,-76.6811,30.89,58,40,8.23,CO,1707426283
222,'ain deheb,34.8422,1.547,11.84,27,100,4.42,DZ,1707426283
223,santa barbara d'oeste,-22.7536,-47.4136,33.64,43,56,3.22,BR,1707426198
224,ayacucho,-13.1583,-74.2239,18.92,52,75,3.09,PE,1707426284
225,ilulissat,69.2167,-51.1,-14.99,66,75,4.63,GL,1707426284
226,lazaro cardenas,17.9583,-102.2,28.72,55,16,4.97,MX,1707426284
227,cockburn town,21.4612,-71.1419,23.14,55,0,6.42,TC,1707426284
228,coahuayana de hidalgo,18.7,-103.6583,29.19,54,15,4.3,MX,1707426284
229,bardai,11.65,7.2333,20.28,17,27,4.66,NG,1707426284
230,ugoofaaru,5.6667,73.0,26.8,71,100,1.91,MV,1707426285
231,acarau,-2.8856,-40.12,27.92,76,19,7.89,BR,1707426285
232,mejit,10.2753,170.8646,26.66,80,53,11.05,MH,1707426285
233,tari,12.4086,4.4914,23.46,14,0,4.37,NG,1707426285
234,maple valley,47.3927,-122.0464,7.93,88,100,3.09,US,1707426071
235,pacific grove,36.6177,-121.9166,13.57,71,75,2.24,US,1707426034
236,siilinjarvi,63.0833,27.6667,-26.99,76,0,0.51,FI,1707426285
237,thunder bay,48.4001,-89.3168,4.99,81,75,4.12,CA,1707426082
238,utrik,11.2278,169.8474,26.34,84,30,10.29,MH,1707426286
239,westport,41.1415,-73.3579,10.88,47,14,1.79,US,1707426098
240,gobabis,-22.45,18.9667,28.25,28,100,2.37,NA,1707426286
241,alofi,-19.0595,-169.9187,28.94,84,75,2.06,NU,1707426286
242,peterborough,52.5736,-0.2478,9.41,100,75,4.63,GB,1707426286
243,tindouf,27.6711,-8.1474,19.25,14,0,1.03,DZ,1707426129
244,enewetak,11.3474,162.3373,26.86,78,100,7.55,MH,1707426287
245,keflavik,64.0049,-22.5624,-6.76,68,0,2.57,IS,1707426287
246,yanam,16.7333,82.2167,22.07,88,9,1.22,IN,1707426287
247,muncar,-8.4333,114.3333,24.8,91,86,1.18,ID,1707426287
248,kegen,43.0197,79.2203,-12.84,85,31,2.97,KZ,1707426287
249,margaret river,-33.95,115.0667,19.72,50,0,2.14,AU,1707426287
250,luderitz,-26.6481,15.1594,19.76,73,32,9.22,NA,1707426288
251,colonia,50.9333,6.95,12.36,86,100,4.12,DE,1707426152
252,weining,26.85,104.2333,-2.71,88,100,2.4,CN,1707426027
253,tralee,52.2704,-9.7026,8.38,96,100,3.26,IE,1707426183
254,binka,21.0333,83.8,17.35,31,4,2.95,IN,1707426055
255,maragogi,-9.0122,-35.2225,27.75,78,66,6.44,BR,1707426288
256,luganville,-15.5333,167.1667,27.63,88,100,8.16,VU,1707426288
257,luanco,43.6152,-5.7934,17.71,73,71,3.63,ES,1707426288
258,enriquillo,17.9,-71.2333,30.82,53,0,3.57,DO,1707426289
259,sampang,-7.1872,113.2394,26.52,83,94,2.44,ID,1707426289
260,kargopol',61.5071,38.9456,-13.45,93,100,4.36,RU,1707426289
261,hadibu,12.65,54.0333,24.62,77,2,5.45,YE,1707426289
262,nar'yan-mar,67.6713,53.087,-11.05,91,96,4.47,RU,1707426289
263,krasnotur'insk,59.7666,60.2086,-9.94,95,100,3.69,RU,1707426290
264,chornomors'k,46.305,30.6548,4.35,91,50,3.41,UA,1707426290
265,amahai,-3.3333,128.9167,26.07,81,100,2.28,ID,1707426290
266,cameron,26.117,-97.5169,28.95,62,40,7.2,US,1707426290
267,taunsa,30.7048,70.6505,13.13,36,0,1.19,PK,1707426290
268,qarazhal,48.0078,70.7903,1.0,92,92,10.25,KZ,1707426290
269,mbaiki,3.8678,17.9892,25.22,34,35,0.7,CF,1707426291
270,tura,25.5198,90.2201,10.44,43,0,1.48,IN,1707426291
271,vorkuta,67.5,64.0,-9.23,84,100,6.5,RU,1707426291
272,juva,56.4368,57.9478,-7.81,90,99,7.2,RU,1707426291
273,pechora,65.1472,57.2244,-9.52,96,100,0.89,RU,1707426291
274,kolonia,50.9333,6.95,12.36,86,100,2.57,DE,1707426291
275,port saint john's,-31.6229,29.5448,22.45,75,74,1.05,ZA,1707426292
276,markivka,49.5229,39.5705,-1.04,71,100,2.81,UA,1707426292
277,north bend,43.4065,-124.2243,9.48,76,40,2.57,US,1707425940
278,lugu,23.7464,120.7525,14.15,98,100,1.28,TW,1707426292
